"Date","Value"
"1987-03",25270
"1987-04",24136
"1987-05",29324
"1987-06",25324
"1987-07",31107
"1987-08",28441
"1987-09",29368
"1987-10",29753
"1987-11",29766
"1987-12",25143
"1988-01",6924
"1988-02",25208
"1988-03",31310
"1988-04",21004
"1988-05",28488
"1988-06",28281
"1988-07",25982
"1988-08",31366
"1988-09",30754
"1988-10",30073
"1988-11",34085
"1988-12",23814
"1989-01",7948
"1989-02",27228
"1989-03",26614
"1989-04",27316
"1989-05",33016
"1989-06",34944
"1989-07",32648
"1989-08",36304
"1989-09",35466
"1989-10",35087
"1989-11",36145
"1989-12",24188
"1990-01",12666
"1990-02",32639
"1990-03",36836
"1990-04",30062
"1990-05",40064
"1990-06",33938
"1990-07",37135
"1990-08",35167
"1990-09",23985
"1990-10",30063
"1990-11",28225
"1990-12",20138
"1991-01",11963
"1991-02",25019
"1991-03",22129
"1991-04",21881
"1991-05",30241
"1991-06",24715
"1991-07",26661
"1991-08",27651
"1991-09",22303
"1991-10",25989
"1991-11",23870
"1991-12",16001
"1992-01",11055
"1992-02",21181
"1992-03",25467
